,0,1,2,3,4
0,gpt-oss-120b,0.4,0.25,beer,"Bottles Explode, Everyone Roars"
1,gpt-oss-120b,0.4,0.25,beer,"Bottles Explode, Everyone Roars"
2,gpt-oss-120b,0.4,0.25,beer,"Bottles Explode, Everyone Roars"
3,gpt-oss-120b,0.4,0.25,beer,"Bottles Explode, Everyone Roars"
4,gpt-oss-120b,0.4,0.25,beer,"Bottles Explode, Everyone Roars"
5,gpt-oss-120b,0.4,0.25,hash,Hilarious Ants Sing Hymns
6,gpt-oss-120b,0.4,0.25,hash,Hilarious Ants Sing Hymns
7,gpt-oss-120b,0.4,0.25,hash,Hilarious Ants Sing Hymns
8,gpt-oss-120b,0.4,0.25,hash,Hilarious Ants Sing Hymns
9,gpt-oss-120b,0.4,0.25,hash,Hilarious Ants Sing Hymns
10,gpt-oss-120b,0.4,0.25,drunk,Drunk rascals urinate near kegs
11,gpt-oss-120b,0.4,0.25,drunk,Drunk rascals urinate near kegs
12,gpt-oss-120b,0.4,0.25,drunk,Drunk rascals urinate near kegs
13,gpt-oss-120b,0.4,0.25,drunk,Drunk rascals urinate near kegs
14,gpt-oss-120b,0.4,0.25,drunk,Drunk rascals urinate near kegs
15,gpt-oss-120b,0.4,0.25,sister,"Sassy Iguanas Steal Tacos, Eating Radishes"
16,gpt-oss-120b,0.4,0.25,sister,Sassy Inappropriate Sisters Twerk Every Rave
17,gpt-oss-120b,0.4,0.25,sister,Sassy Inappropriate Sisters Twerk Every Rave
18,gpt-oss-120b,0.4,0.25,sister,Sassy Inappropriate Sisters Twerk Every Rave
19,gpt-oss-120b,0.4,0.25,sister,Sassy Inappropriate Sisters Twerk Every Rave
20,gpt-oss-120b,0.4,0.25,tomorrow,Taco Overload Makes Our Rude Relatives Ogle Waffles
21,gpt-oss-120b,0.4,0.25,tomorrow,Taco Overload Makes Our Rude Relatives Ogle Waffles
22,gpt-oss-120b,0.4,0.25,tomorrow,Taco Overload Makes Our Rude Relatives Ogle Waffles
23,gpt-oss-120b,0.4,0.25,tomorrow,Taco Overload Makes Our Rude Relatives Ogle Waffles
24,gpt-oss-120b,0.4,0.25,tomorrow,Taco Overload Makes Our Rude Relatives Ogle Waffles
25,gpt-oss-120b,0.4,0.25,yesterday,"Yesterday's Epic Story Told Everyone: Remember, Do A Yodel."
26,gpt-oss-120b,0.4,0.25,yesterday,"Yesterday's Epic Story Told Everyone: Remember, Do A Yodel."
27,gpt-oss-120b,0.4,0.25,yesterday,"Yesterday's Epic Story Told Everyone: Remember, Do A Yodel."
28,gpt-oss-120b,0.4,0.25,yesterday,"Yesterday's Epic Story Told Everyone: Remember, Do A Yodel."
29,gpt-oss-120b,0.4,0.25,yesterday,"Yesterday's Epic Story Told Everyone: Remember, Do A Yodel."
30,gpt-oss-120b,0.4,0.5,beer,"Bubbles Erupt, Everyone Revels."
31,gpt-oss-120b,0.4,0.5,beer,Boozy Evening Encourages Rowdyness
32,gpt-oss-120b,0.4,0.5,beer,Boozy Evening Encourages Revelry
33,gpt-oss-120b,0.4,0.5,beer,Boozy Evening Encourages Rowdyness
34,gpt-oss-120b,0.4,0.5,beer,Boozy Evening Encourages Rowdyness
35,gpt-oss-120b,0.4,0.5,hash,Hungry Alligators Snack Happily
36,gpt-oss-120b,0.4,0.5,hash,Hungry Avatars Savor Hash.
37,gpt-oss-120b,0.4,0.5,hash,Horny Aardvarks Squeeze Hash
38,gpt-oss-120b,0.4,0.5,hash,Hungry Ants Steal Hamburgers
39,gpt-oss-120b,0.4,0.5,hash,Horny Alpacas Squeeze Hummus
40,gpt-oss-120b,0.4,0.5,drunk,"Don't rush, unleash naughty kinks!"
41,gpt-oss-120b,0.4,0.5,drunk,Dirty Rascals Unleash Naughty Kinkiness
42,gpt-oss-120b,0.4,0.5,drunk,Drunk Raccoons Usually Nibble Kegs
43,gpt-oss-120b,0.4,0.5,drunk,Don't really urinate near kegs
44,gpt-oss-120b,0.4,0.5,drunk,"Dude, really unhinged, needs kegs."
45,gpt-oss-120b,0.4,0.5,sister,Sassy Iguanas Sing To Everyone's Rhythm
46,gpt-oss-120b,0.4,0.5,sister,Smutty Interns Suck The Entire Roster
47,gpt-oss-120b,0.4,0.5,sister,Sassy Inebriated Sisters Twerk Every Round
48,gpt-oss-120b,0.4,0.5,sister,Silly Iguanas Steal The Extra Ramen
49,gpt-oss-120b,0.4,0.5,sister,Sisters In Silly Twerking Earn Respect
50,gpt-oss-120b,0.4,0.5,tomorrow,"Tomorrow, Our Mischievous Octopus Rides Racy Orgasms, Wow"
51,gpt-oss-120b,0.4,0.5,tomorrow,"Take One Minute, Or Rest, Reboot, Or Wander."
52,gpt-oss-120b,0.4,0.5,tomorrow,
53,gpt-oss-120b,0.4,0.5,tomorrow,"Tomorrow's Ongoing Madness Offers Ridiculous, Ridiculous, Outlandish Wonders."
54,gpt-oss-120b,0.4,0.5,tomorrow,Taco Overload Makes Our Rude Rascals Ogle Women
55,gpt-oss-120b,0.4,0.5,yesterday,Yummy erotic sweaty tigers eagerly ransack dirty adult yards.
56,gpt-oss-120b,0.4,0.5,yesterday,
57,gpt-oss-120b,0.4,0.5,yesterday,"Yodeling Elephants Serenade The Evening, Raucously Dancing And Yawning"
58,gpt-oss-120b,0.4,0.5,yesterday,"Yup, Everyone's Silly Thoughts Earned Ridiculous, Delightful Acronym, Yessir!"
59,gpt-oss-120b,0.4,0.5,yesterday,Yodeling Elephants Sing To Entertain Rowdy Drunkards And Yodelers
60,gpt-oss-120b,0.4,0.75,beer,Boozy Elves Engage in Rumpus
61,gpt-oss-120b,0.4,0.75,beer,Booze Encourages Euphoric Revelry
